asin,name,url,target_price,active,category,notes
B017SN1OI8,"Fossil Men's Watch, Grant Quartz Stainless Steel Chronograph Watch for Men",https://www.amazon.com/dp/B017SN1OI8,,true,fossil,
B00AFTTQ8I,"Fossil Men's Watch, Grant Quartz Stainless Steel Chronograph Watch for Men",https://www.amazon.com/dp/B00AFTTQ8I,,true,fossil,
B00AFTTQQ0,"Fossil Men's Watch, Grant Quartz Stainless Steel Chronograph Watch for Men",https://www.amazon.com/dp/B00AFTTQQ0,,true,fossil,
B01LZU0GYY,"A|X Armani Exchange Men's Watch, Three-Hand Stainless Steel Watch for Men",https://www.amazon.com/dp/B01LZU0GYY,,true,armani-exchange,
B00786VYGS,"A|X Armani Exchange Men's Watch, Three-Hand Stainless Steel Watch for Men",https://www.amazon.com/dp/B00786VYGS,,true,armani-exchange,
B00BYIMWYE,"A|X Armani Exchange Men's Watch, Three-Hand Stainless Steel Watch for Men",https://www.amazon.com/dp/B00BYIMWYE,,true,armani-exchange,
B0094KMB4U,Armani Exchange A|X Stainless Steel Chronograph Watch for Men,https://www.amazon.com/dp/B0094KMB4U,,true,armani-exchange,
